이름, 몸무게, 키
아바,99,180
차마,63,192
차바,73,166
타마,80,177
타자,113,189
카파,114,193
카다,76,158
타자,107,187
바하,84,141
하타,83,183
마파,113,165
아타,60,150
마차,119,155
카사,69,189
하자,91,156
타차,112,188
카카,118,183
아마,77,152
사자,78,174
라바,52,159
마자,104,152
마라,112,170
타가,41,167
자하,86,162
사자,60,142
차차,111,165
라라,114,186
가아,82,188
하카,90,175
라타,46,161
다파,101,146
라타,108,143
타라,94,142
아하,105,185
카마,95,194
카가,88,189
마파,95,183
다타,43,170
마하,66,185
나파,57,196
나하,103,193
하자,99,164
차카,43,160
가라,98,177
가차,76,162
파카,95,152
다사,75,187
아라,44,167
타나,76,169
자마,87,182
파나,85,158
카가,83,193
사라,93,160
카파,101,184
자사,101,177
파파,55,187
하나,88,183
가라,117,177
마나,60,182
가나,117,156
라라,63,161
라파,95,155
사아,108,193
차다,80,153
사라,105,198
하하,61,191
마가,85,140
하다,75,140
자자,59,168
타자,73,151
자파,49,160
나바,106,196
타나,77,175
가가,65,178
카카,53,157
다하,97,181
자하,59,198
라카,99,186
마자,44,197
타차,88,171
가자,95,168
하카,69,177
차차,95,148
바나,95,180
사가,107,164
타자,104,182
다차,115,141
라파,105,151
하라,113,140
타자,78,196
사파,74,162
타하,70,187
파마,101,193
하하,50,161
카파,108,151
하나,96,158
카마,69,191
카자,46,188
가다,84,140
나파,55,142
차마,105,148
파가,50,180
나라,96,165
다하,76,141
카하,106,153
아아,58,178
바차,119,148
라라,84,163
라타,114,154
하차,79,181
바사,87,186
나나,67,193
파가,86,182
카나,49,145
타바,75,193
자파,56,189
차파,52,159
마파,52,182
아하,113,195
라마,94,141
타바,79,151
타바,41,199
마차,119,197
카가,103,182
라자,118,190
마나,114,142
파파,114,197
라파,69,157
마자,81,191
자파,80,173
사파,54,153
카사,47,165
하나,85,144
카차,107,152
바나,89,175
아자,64,157
하마,58,196
파가,72,154
자마,53,140
차마,98,144
아라,61,182
라아,94,173
파바,82,185
나사,47,160
라하,116,157
라마,77,167
바아,44,146
바아,101,179
아하,100,150
라라,98,150
하카,51,185
파마,92,172
바타,113,146
사타,89,174
아마,85,185
아아,78,175
나바,113,147
아가,119,154
아다,79,148
가자,82,186
자파,56,149
아바,67,192
타아,68,153
나파,88,165
차사,79,157
바나,107,170
차아,47,164
바하,48,183
파아,45,195
타파,89,162
마카,77,155
가자,60,159
차사,95,173
나카,100,150
타사,88,166
타카,111,192
바사,59,163
라바,115,144
타마,56,154
다차,82,140
마마,92,195
마파,60,185
카다,88,154
아차,79,171
라아,119,147
타라,113,169
사가,44,168
하파,97,169
하타,94,197
파가,69,187
하차,106,155
사라,55,178
가가,115,190
파사,95,186
라나,101,198
마카,68,163
나나,46,194
다라,48,152
타다,107,163
나파,41,177
차자,49,194
아라,78,177
아자,77,196
가아,77,177
자파,45,198
나아,60,185
타차,68,189
가파,40,197
카마,118,181
사마,67,170
아차,68,177
자파,110,186
라카,80,178
나자,47,179
타파,43,162
바하,79,149
파라,84,192
하나,76,159
사사,107,192
마차,114,193
가차,105,157
가마,102,198
자아,119,193
차가,94,163
파차,69,186
마바,66,148
자타,76,157
나아,96,173
다다,74,146
라사,54,184
아파,109,154
나파,103,193
가차,116,196
마하,54,141
카카,48,198
카카,54,187
마파,113,198
아카,86,169
타자,88,146
파타,51,185
가바,50,170
자자,98,146
타라,101,184
하자,82,196
사마,108,184
하타,88,149
바마,65,161
차다,104,173
사타,62,150
마다,106,161
파마,80,152
아사,117,163
하바,74,173
파가,116,158
라자,71,141
파차,110,176
다아,61,147
하카,107,175
마파,40,168
마하,105,167
아나,103,193
카마,95,169
다파,40,160
자라,96,196
다다,40,157
마자,47,195
타다,88,156
바아,98,183
하하,70,143
나아,84,198
사바,54,148
하가,95,159
카사,77,153
가아,107,151
마차,103,143
파파,58,185
가가,91,189
라하,74,197
가가,91,192
하아,78,151
아자,83,141
가나,104,161
자마,113,162
사아,48,143
사가,61,186
카타,58,154
타라,91,197
자자,44,185
바사,46,179
가라,63,173
타차,40,199
차사,96,156
하아,96,181
마아,88,176
다사,112,168
라다,50,187
마사,96,166
마사,75,145
가파,79,197
차자,40,165
아아,68,178
다자,78,159
마마,47,175
라아,70,153
다타,47,194
가마,100,157
사다,118,182
마자,42,176
사하,71,168
다마,78,168
아바,65,178
차라,48,179
차카,103,151
마사,82,162
바라,69,150
바라,97,154
하파,79,189
차라,98,141
카타,108,146
사바,54,177
가차,98,174
바라,93,191
파차,48,179
사다,79,178
마하,100,170
나차,81,173
차가,63,150
차사,104,182
사하,48,198
파아,50,164
자가,115,162
바카,108,166
아자,43,153
카마,91,195
라마,43,172
마사,55,155
바마,106,159
라차,76,140
카아,109,147
하가,94,189
다카,61,178
라아,87,199
파라,51,180
카하,104,163
바사,84,153
마자,53,198
차사,100,191
카차,49,155
카파,61,145
자차,109,165
카파,72,195
타하,55,153
라파,97,150
사카,119,163
파아,73,160
가바,84,151
라나,42,154
차차,45,177
하카,61,141
마가,82,160
사바,114,159
바타,60,160
카다,114,169
타파,101,177
사아,78,181
차파,44,143
아자,41,146
다라,96,193
마가,86,178
나차,70,199
자하,109,177
다차,98,175
라아,70,196
하타,94,194
마카,46,146
라아,47,197
자하,84,150
타카,71,157
마바,58,146
파마,41,149
자타,49,147
아사,63,153
아차,63,184
카자,91,182
사다,105,164
아라,47,150
타다,63,178
마카,52,156
자가,81,146
나아,47,197
가파,86,179
다자,52,173
자사,69,153
타나,101,140
다마,105,149
다하,107,190
파하,69,190
파타,60,172
나사,101,155
다아,47,151
바바,69,190
마아,97,180
사카,115,174
차카,105,167
다다,94,190
아아,101,176
하라,55,197
라자,76,167
카다,93,172
카파,107,199
다차,88,182
파차,82,140
파타,55,185
타카,45,140
라다,118,146
자카,78,143
바나,107,199
가카,68,159
사하,104,195
차아,53,147
타차,114,192
바사,57,172
하라,71,191
하마,107,150
아파,106,145
차타,76,192
가마,90,173
하바,94,150
마바,119,186
차가,108,156
아다,99,145
파파,72,199
나나,80,170
하바,65,165
나아,62,140
마아,102,162
사마,49,183
가바,113,190
라하,66,194
아바,52,152
카자,44,181
카다,109,194
사아,85,169
아아,66,143
가다,77,179
파라,40,154
사가,89,155
사가,59,152
하파,94,191
사바,47,181
라가,112,151
가가,53,191
하자,105,143
바아,92,142
사카,74,170
카사,64,190
라사,81,141
다자,58,162
카사,79,160
차카,69,171
카하,79,141
라아,85,190
차사,79,172
아다,70,185
카자,60,198
가카,41,186
카라,47,180
다마,77,194
파하,103,186
사가,47,167
타바,90,196
카자,99,153
마다,92,165
가타,111,179
사사,97,182
라타,66,149
하하,70,168
마바,109,141
사카,54,164
차라,114,147
바사,112,159
마파,53,177
마마,112,164
차나,40,151
바다,83,141
파카,48,160
아하,41,173
차사,117,185
다자,95,177
차사,69,170
마파,87,175
아다,59,159
카라,51,159
마차,101,199
가다,56,165
나나,103,146
사마,79,173
자카,86,174
바바,102,151
아바,87,189
아하,86,186
차바,42,178
사나,54,157
라가,56,171
자마,89,174
파하,61,160
파차,78,168
라다,73,162
차카,49,149
아마,83,192
다차,87,143
자가,88,151
파라,70,147
자가,108,189
카파,98,165
바파,86,182
아가,76,153
아카,105,191
타카,109,158
하사,115,177
사사,93,173
다라,46,164
아파,62,172
가사,90,153
사차,98,161
다나,68,176
하나,43,140
자바,109,196
자가,52,178
카바,75,178
마나,86,159
마다,96,151
가다,59,147
마사,82,176
타자,103,198
마나,89,181
하마,118,170
라타,96,190
마마,42,167
파바,81,165
마가,49,156
자자,116,163
타카,91,177
라자,73,145
자타,111,182
카바,118,159
카아,63,142
자바,109,173
자바,40,172
아차,110,166
차자,75,193
하가,70,197
라사,94,174
타차,111,171
